date_time,name,site,num_of_share,stock_price,value
2020-08-14 16:01:05,BITEVIL-NC,K,554,1.52,842.08
2020-08-14 09:13:21,CCC,K,20,58.5,1170.0
2020-08-13 11:39:18,MAKOLAB-NC,S,100,8.0,800.0
2020-08-13 09:39:29,HEMP,S,1200,0.755,906.0
2020-08-13 09:02:10,HEMP,K,1200,0.69,828.0
2020-08-12 10:32:31,FAMUR,K,500,1.804,902.0
2020-08-12 11:47:07,KORBANK-NC,K,150,4.9,735.0
2020-08-12 17:00:00,EUROCASH,K,60,15.29,917.0
2020-08-12 15:42:04,DEKTRA-NC,S,200,5.5,1100.0
2020-08-11 09:04:39,BIZTECH-NC,S,500,0.43,215.0
2020-08-08 14:26:24,PBGAMES,S,225,2.04,459.0
2020-08-07 09:00:01,ELEMENTAL,S,100,2.0,200.0
2020-08-06 11:12:12,HEMP,S,1000,1.2,1200.0
2020-07-31 09:20:53,BORUTA-NC,S,200,0.78,156.0
2020-07-31 10:36:09,VRG,K,230,2.31,531.3
2020-07-30 09:05:55,GREMPCO-NC,S,500,0.82,410.0
2020-07-23 15:02:41,ATCCARGO-NC,K,160,4.98,796.8
2020-07-22 12:05:11,PZU,K,40,29.04,1161.6
2020-07-22 10:54:40,ELEMENTAL,S,400,2.2,880.0
2020-07-21 16:36:43,SUNTECH-NC,K,1000,0.89,890.0
2020-07-21 14:51:28,AAT,K,700,1.12,784.0
2020-07-21 14:12:40,PBGAMES,K,450,1.68,756.0
2020-07-21 13:06:17,MLSYSTEM,S,10,87.6,876.0
2020-07-21 11:22:10,ULMA,S,10,47.0,470.0
2020-07-20 12:33:01,PRESENT24-NC,S,5200,0.163,847.6
2020-07-17 16:35:28,AQUABB-NC,S,10,15.4,154.0
2020-07-17 09:04:12,ORANGEPL,S,120,7.445,893.4
2020-07-14 13:42:53,PEPEES,K,450,1.62,729.0
2020-07-14 13:56:27,DEKTRA-NC,K,150,5.05,757.5
2020-07-13 13:57:11,GREMPCO-NC,S,1000,0.57,570.0
2020-07-13 10:29:56,GRUPAAZOTY,K,30,31.45,943.0
2020-07-13 09:56:27,ECCGAMES,K,300,2.57,771.0
2020-07-09 12:30:53,CIGAMES,S,500,1.45,725.0
2020-07-09 13:20:25,BORUTA-NC,S,1800,0.34,612.0
2020-07-08 09:15:06,APSENERGY-NC,K,300,2.67,801.0
2020-07-08 09:10:54,JWA-NC,S,1000,1.06,1060.0
2020-07-07 16:40:17,EFENERGII-NC,S,1000,0.4,400.0
2020-07-07 09:00:00,JWA-NC,K,1000,0.85,850.0
2020-07-06 14:21:00,NGGAMES,S,3000,0.302,906.0
2020-07-03 11:27:57,GREMPCO-NC,S,2000,0.35,700.0
2020-06-25 09:04:23,4MASS,S,500,0.222,111.0
2020-06-24 14:05:29,4MASS,S,500,0.2,100.0
2020-06-23 13:25:29,LOTOS,K,13,60.22,782.86
2020-06-23 13:23:29,ORANGEPL,K,120,6.305,756.6
2020-06-23 13:19:51,PLAY,K,27,29.54,797.58
2020-06-19 09:38:03,TAURONPE,S,500,2.6,1300.0
2020-06-19 09:37:35,AKCEPTFIN-NC,S,500,0.46,230.0
2020-06-18 11:30:50,TAURONPE,S,200,2.3,460.0
2020-06-17 15:19:31,PRESENT24-NC,K,5200,0.146,759.2
2020-06-16 09:18:25,EXAMOBILE-NC,S,300,3.6,1080.0
2020-06-15 16:35:58,EDINVEST,S,100,2.4,240.0
2020-06-15 13:59:18,KRVITAMIN,S,150,4.7,705.0
2020-06-15 10:58:25,JWA-NC,S,200,0.7,140.0
2020-06-10 15:23:46,VIVID,S,100,1.86,186.0
2020-06-09 09:47:17,BORUTA-NC,S,1995,0.298,594.51
2020-06-09 09:39:47,BORUTA-NC,S,5,0.298,1.49
